,name,explicit,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
81,Wil je weten hoe et voelt,False,34,0.795,0.638,7,-7.4,1,0.144,0.378,9.8e-05,0.1,0.594,92.524
82,SEASONS - SE1EP1: Lijpe,True,45,0.828,0.485,1,-7.509,1,0.373,0.0988,0.0,0.0668,0.163,98.204
83,Slapeloze Nachten,False,62,0.808,0.645,8,-6.928,1,0.0572,0.353,0.000931,0.152,0.81,111.962
84,Hella Papers,True,36,0.805,0.63,7,-6.3,0,0.279,0.443,0.0,0.0818,0.619,99.904
85,Op Die Rap,True,26,0.619,0.512,5,-8.191,0,0.296,0.387,1.77e-05,0.0989,0.492,117.533
86,Watskeburt?!,True,56,0.946,0.491,1,-7.931,1,0.231,0.00521,0.0,0.226,0.586,130.029
87,Sterrenstof,True,62,0.714,0.79,5,-3.757,0,0.109,0.317,1.27e-05,0.198,0.904,97.012
88,Noodzaak,False,0,0.699,0.416,5,-7.656,0,0.471,0.807,0.000293,0.144,0.274,94.128
89,Puinhoop,False,15,0.798,0.757,6,-7.564,0,0.0533,0.347,0.0,0.0871,0.895,134.976
90,Mijn Pad - Live in de Ziggo Dome,False,8,0.644,0.67,2,-10.251,1,0.192,0.147,0.0,0.323,0.471,92.434
91,Uit elkaar - Live in de Ziggo Dome,False,5,0.595,0.513,4,-12.283,1,0.0724,0.406,0.00514,0.166,0.572,169.973
92,Nu zie je (feat. Lijpe),False,32,0.583,0.656,9,-5.917,0,0.369,0.439,0.0,0.118,0.266,117.716
93,Liever Alleen,True,29,0.589,0.762,11,-4.445,0,0.0648,0.431,0.00075,0.104,0.405,88.235
94,Vallen & Opstaan,True,34,0.81,0.446,0,-9.841,1,0.453,0.167,0.0,0.132,0.459,94.03
95,Nooit Goed,True,31,0.382,0.718,0,-6.127,1,0.291,0.145,3.98e-05,0.852,0.747,168.456
96,Waar Ik Vandaan Kom,True,35,0.638,0.838,5,-5.0,0,0.202,0.0532,0.0,0.233,0.497,160.08
97,Geen Tijd,True,37,0.841,0.615,1,-5.602,1,0.204,0.154,0.00014,0.0739,0.231,97.995
98,Innerlijke Rust,False,47,0.779,0.543,0,-9.464,0,0.333,0.677,1.16e-06,0.0967,0.329,98.295
99,Selfmade,False,49,0.824,0.547,1,-7.197,0,0.327,0.35,3.75e-06,0.338,0.406,95.051
100,Lane Assist,False,51,0.836,0.514,10,-9.622,0,0.257,0.239,2.83e-06,0.112,0.56,94.522
101,Obsessed,True,53,0.611,0.577,11,-5.594,0,0.453,0.327,0.0,0.0605,0.793,93.285
102,Realiteit,False,46,0.719,0.342,1,-11.926,1,0.308,0.534,0.0487,0.123,0.0372,100.064
103,Van de Wijk,True,50,0.835,0.617,5,-4.269,0,0.0358,0.44,0.0,0.112,0.768,140.084
104,Hier,False,44,0.656,0.693,9,-5.703,0,0.296,0.329,0.0,0.0962,0.232,93.014
105,Coffeeshopdiplomaten,False,16,0.724,0.79,11,-7.123,0,0.24,0.00148,0.000227,0.177,0.641,91.441
106,Maak Money,True,9,0.518,0.727,5,-4.974,1,0.156,0.0317,0.0,0.201,0.352,181.968
107,Testament,False,49,0.815,0.631,3,-5.219,0,0.132,0.236,3.95e-05,0.143,0.548,92.984
108,!,True,39,0.673,0.588,1,-8.381,1,0.434,0.152,0.0,0.066,0.473,94.022
109,Iedereenzaam,True,43,0.598,0.494,1,-9.953,1,0.491,0.37,0.0,0.125,0.394,89.433
110,Doolhof,True,18,0.761,0.597,7,-7.955,0,0.131,0.135,0.0,0.151,0.71,150.845
111,Galini (feat. Oualid & Clandistino),False,21,0.617,0.822,7,-4.543,0,0.251,0.39,0.0,0.175,0.606,104.489
112,Vele Mannen (feat. Anu-D),False,8,0.661,0.725,0,-4.816,1,0.0983,0.447,0.0,0.13,0.704,157.128
113,Kwijt (feat. KOACH),False,10,0.854,0.55,9,-6.811,1,0.262,0.0985,0.0,0.205,0.692,92.079
114,De Belofte (feat. Soes),False,14,0.621,0.597,7,-5.612,1,0.291,0.0843,0.0,0.245,0.343,81.725
115,Bitchboy,True,33,0.557,0.876,8,-4.311,0,0.393,0.307,0.0,0.174,0.581,93.849
116,Gevangen,False,23,0.512,0.743,11,-3.874,1,0.0884,0.141,0.0,0.172,0.294,88.121
117,Alzheimer,True,22,0.465,0.75,7,-5.659,1,0.264,0.0169,0.0,0.395,0.424,146.503
118,Gooi Jezelf Weg,True,22,0.509,0.685,9,-5.711,1,0.0638,0.0163,0.0,0.516,0.0908,145.984
119,Zo Doe Je Dat,True,27,0.487,0.746,6,-4.897,1,0.203,0.0807,0.0,0.289,0.533,90.312
120,Bakstenen,True,51,0.861,0.528,0,-8.214,0,0.321,0.24,1.12e-06,0.101,0.548,100.052
121,Zeg Alleen Niks,True,47,0.653,0.809,6,-5.857,0,0.382,0.572,0.0,0.293,0.612,93.925
122,Negativitijdperk,False,15,0.853,0.817,7,-6.516,1,0.321,0.261,0.0,0.0927,0.589,99.991
123,Onbreekbaar,False,22,0.682,0.753,1,-7.05,1,0.367,0.383,0.0,0.377,0.771,90.951
124,Dingen Gedaan,False,33,0.661,0.874,10,-6.439,0,0.289,0.209,0.0,0.102,0.627,98.612
125,Je Weet Niet Wie Ik Ben,False,18,0.906,0.701,1,-7.817,1,0.293,0.0976,0.0,0.114,0.833,86.976
126,Ga Maar Los,False,10,0.82,0.558,8,-8.947,1,0.187,0.0557,5.84e-06,0.116,0.225,105.018
127,Kijk Eens Om Je Heen,False,13,0.585,0.575,5,-8.297,0,0.133,0.0811,1.21e-06,0.104,0.761,89.264
128,Loyaliteit,False,12,0.71,0.787,5,-4.864,1,0.228,0.0425,0.0,0.2,0.272,168.001
129,Niet Klaar Voor,False,8,0.855,0.636,11,-5.364,0,0.184,0.157,0.0,0.121,0.297,101.011
130,Alles Wat Je Hebt,False,9,0.723,0.86,7,-4.296,1,0.167,0.0121,0.0259,0.513,0.665,90.718
131,Niks Is Wat Het Zijn Moet,False,33,0.672,0.627,9,-8.078,0,0.209,0.422,0.0,0.106,0.699,91.918
